tweet_id;tweet;mot;pres;type
82013_tweet.txt;Bosh il lui a fait un sal boulot à kaaris il lui a montré que maintenant y’a plus de petit et grand;bosh;non;NP
82013_tweet.txt;Bosh il lui a fait un sal boulot à kaaris il lui a montré que maintenant y’a plus de petit et grand;sal;non;FAUTE
82013_tweet.txt;Bosh il lui a fait un sal boulot à kaaris il lui a montré que maintenant y’a plus de petit et grand;kaaris;non;NP
130701_tweet.txt;Le craquage est complet, j’ai préco le repackage de straykids, et Mario Allstar ??????;préco;non;ABR
130701_tweet.txt;Le craquage est complet, j’ai préco le repackage de straykids, et Mario Allstar ??????;repackage;non;ANG
130701_tweet.txt;Le craquage est complet, j’ai préco le repackage de straykids, et Mario Allstar ??????;straykids;non;ANG
130701_tweet.txt;Le craquage est complet, j’ai préco le repackage de straykids, et Mario Allstar ??????;mario;non;NP
130701_tweet.txt;Le craquage est complet, j’ai préco le repackage de straykids, et Mario Allstar ??????;allstar;non;ANG
98773_tweet.txt;@XXX @XXX Chut faut pas le dire à Camille;camille;non;NP
258184_tweet.txt;ma passion pendant le générique des vlogs d’août: essayer de deviner qui est qui quand y’a les dessins des potes à Léna;vlogs;non;ANG
258184_tweet.txt;ma passion pendant le générique des vlogs d’août: essayer de deviner qui est qui quand y’a les dessins des potes à Léna;léna;non;NP
262936_tweet.txt;Me encontré  #MTVHottest BTS @XXX url_path;encontré;non;FAUTE
262936_tweet.txt;Me encontré  #MTVHottest BTS @XXX url_path;bts;non;NP
99082_tweet.txt;@XXX putain, ils veulent notre peau Nintendo. C'est day one les amiibo;nintendo;non;NP
99082_tweet.txt;@XXX putain, ils veulent notre peau Nintendo. C'est day one les amiibo;day;non;ANG
99082_tweet.txt;@XXX putain, ils veulent notre peau Nintendo. C'est day one les amiibo;one;non;ANG
99082_tweet.txt;@XXX putain, ils veulent notre peau Nintendo. C'est day one les amiibo;amiibo;non;NP
90158_tweet.txt;Je suis POUR les grèves mais alors encore une de la #SNCF sachant qu’on est en plein Covid et qu’on s’entasse déjà en temps normal, je vous invite à aller niquer vos mères;covid;non;ABR
189761_tweet.txt;Maroua a chaque drama elle me déçoit un peu plus je suis choquée d’elle;maroua;non;NP
189761_tweet.txt;Maroua a chaque drama elle me déçoit un peu plus je suis choquée d’elle;drama;non;ANG
92675_tweet.txt;@XXX @XXX @XXX Des grand Denjiro malina Marié, tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup????????;denjiro;non;NP
92675_tweet.txt;@XXX @XXX @XXX Des grand Denjiro malina Marié, tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup????????;malina;non;NP
92675_tweet.txt;@XXX @XXX @XXX Des grand Denjiro malina Marié, tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup????????;jctrrrr;non;NP
92675_tweet.txt;@XXX @XXX @XXX Des grand Denjiro malina Marié, tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup????????;eeeesh;non;INTER
92675_tweet.txt;@XXX @XXX @XXX Des grand Denjiro malina Marié, tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup????????;foorce;non;FAUTE
71292_tweet.txt;Même si on lui coupe le pied il doit jouer. Back to back MVP, MVP et DPOY sur la même saison et tu vas te manger un sweep ?????  LMAOOOOOOOOO must win tonight @XXX your legacy is on the line url_path;mvp;non;ABR
71292_tweet.txt;Même si on lui coupe le pied il doit jouer. Back to back MVP, MVP et DPOY sur la même saison et tu vas te manger un sweep ?????  LMAOOOOOOOOO must win tonight @XXX your legacy is on the line url_path;mvp;non;ABR
71292_tweet.txt;Même si on lui coupe le pied il doit jouer. Back to back MVP, MVP et DPOY sur la même saison et tu vas te manger un sweep ?????  LMAOOOOOOOOO must win tonight @XXX your legacy is on the line url_path;dpoy;non;ABR
