tweet_id,tweet,mot
82013_tweet.txt,bosh il lui a fait un sal boulot à kaaris il lui a montré que maintenant a plus de petit et grand,bosh
82013_tweet.txt,bosh il lui a fait un sal boulot à kaaris il lui a montré que maintenant a plus de petit et grand,sal
82013_tweet.txt,bosh il lui a fait un sal boulot à kaaris il lui a montré que maintenant a plus de petit et grand,kaaris
130701_tweet.txt,le craquage est complet ai préco le repackage de straykids et mario allstar,préco
130701_tweet.txt,le craquage est complet ai préco le repackage de straykids et mario allstar,repackage
130701_tweet.txt,le craquage est complet ai préco le repackage de straykids et mario allstar,straykids
130701_tweet.txt,le craquage est complet ai préco le repackage de straykids et mario allstar,mario
130701_tweet.txt,le craquage est complet ai préco le repackage de straykids et mario allstar,allstar
98773_tweet.txt,chut faut pas le dire à camille,camille
258184_tweet.txt,ma passion pendant le générique des vlogs août essayer de deviner qui est qui quand a les dessins des potes à léna,vlogs
258184_tweet.txt,ma passion pendant le générique des vlogs août essayer de deviner qui est qui quand a les dessins des potes à léna,léna
262936_tweet.txt,me encontré  bts,encontré
262936_tweet.txt,me encontré  bts,bts
99082_tweet.txt,putain ils veulent notre peau nintendo est day one les amiibo,nintendo
99082_tweet.txt,putain ils veulent notre peau nintendo est day one les amiibo,day
99082_tweet.txt,putain ils veulent notre peau nintendo est day one les amiibo,one
99082_tweet.txt,putain ils veulent notre peau nintendo est day one les amiibo,amiibo
90158_tweet.txt,je suis pour les grèves mais alors encore une de la sachant on est en plein covid et on entasse déjà en temps normal je vous invite à aller niquer vos mères,covid
189761_tweet.txt,maroua a chaque drama elle me déçoit un peu plus je suis choquée elle,maroua
189761_tweet.txt,maroua a chaque drama elle me déçoit un peu plus je suis choquée elle,drama
92675_tweet.txt,des grand denjiro malina marié tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup,denjiro
92675_tweet.txt,des grand denjiro malina marié tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup,malina
92675_tweet.txt,des grand denjiro malina marié tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup,jctrrrr
92675_tweet.txt,des grand denjiro malina marié tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup,eeeesh
92675_tweet.txt,des grand denjiro malina marié tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup,foorce
